,GEOID,PVI,Formatted_District,state_fips,state,Senate Pred Dem Adjusted,Senate Pred GOP Adjusted
1723,610U800US48028,-15.161243881740475,TX-Sen-28,48,TX,0,1
1724,610U800US48029,9.707239958432588,TX-Sen-29,48,TX,1,0
1725,610U800US48030,-10.203183398835094,TX-Sen-30,48,TX,0,1
1726,610U800US48031,-26.336453494126516,TX-Sen-31,48,TX,0,1
1727,610U800US49001,-23.10031473503135,UT-Sen-01,49,UT,0,1
1728,610U800US49002,-3.5013003508190526,UT-Sen-02,49,UT,0,1
1729,610U800US49003,-12.89573804934717,UT-Sen-03,49,UT,0,1
1730,610U800US49004,-21.583354076240624,UT-Sen-04,49,UT,0,1
1731,610U800US49005,-12.143902718421604,UT-Sen-05,49,UT,0,1
1732,610U800US49006,-17.743631398756666,UT-Sen-06,49,UT,0,1
1733,610U800US49007,-15.562225141447048,UT-Sen-07,49,UT,0,1
1734,610U800US49008,-6.658025897957311,UT-Sen-08,49,UT,0,1
1735,610U800US49009,27.036999789258697,UT-Sen-09,49,UT,1,0
1736,610U800US49010,0.5312253739611368,UT-Sen-10,49,UT,1,0
1737,610U800US49011,-21.161347131373645,UT-Sen-11,49,UT,0,1
1738,610U800US49012,-1.6734233303130708,UT-Sen-12,49,UT,0,1
1739,610U800US49013,12.207423351493658,UT-Sen-13,49,UT,1,0
1740,610U800US49014,4.335490271260648,UT-Sen-14,49,UT,1,0
1741,610U800US49015,-4.929776598316593,UT-Sen-15,49,UT,0,1
1742,610U800US49016,-10.741944358160342,UT-Sen-16,49,UT,0,1
1743,610U800US49017,-17.485193450665424,UT-Sen-17,49,UT,0,1
1744,610U800US49018,-16.855558206493914,UT-Sen-18,49,UT,0,1
1745,610U800US49019,-9.31326817333217,UT-Sen-19,49,UT,0,1
1746,610U800US49020,-22.1657677709248,UT-Sen-20,49,UT,0,1
1747,610U800US49021,-12.246274507830272,UT-Sen-21,49,UT,0,1
1748,610U800US49022,-27.694237230612075,UT-Sen-22,49,UT,0,1
1749,610U800US49023,-9.423457952494749,UT-Sen-23,49,UT,0,1
1750,610U800US49024,6.381836066583242,UT-Sen-24,49,UT,1,0
1751,610U800US49025,-19.80572094302797,UT-Sen-25,49,UT,0,1
1752,610U800US49026,-17.903913249707745,UT-Sen-26,49,UT,0,1
1753,610U800US49027,-26.550389087564312,UT-Sen-27,49,UT,0,1
1754,610U800US49028,-20.36602621614479,UT-Sen-28,49,UT,0,1
1755,610U800US49029,-16.431090141437753,UT-Sen-29,49,UT,0,1
1756,610U800US51001,-14.932207342435827,VA-Sen-01,51,VA,0,1
1757,610U800US51002,-10.468516596426038,VA-Sen-02,51,VA,0,1
1758,610U800US51003,-12.587380386470887,VA-Sen-03,51,VA,0,1
1759,610U800US51004,-2.92638195885136,VA-Sen-04,51,VA,0,1
1760,610U800US51005,-11.607114476422378,VA-Sen-05,51,VA,0,1
1761,610U800US51006,-24.770842046823876,VA-Sen-06,51,VA,0,1
1762,610U800US51007,-18.07108032575027,VA-Sen-07,51,VA,0,1
1763,610U800US51008,-11.618003748608203,VA-Sen-08,51,VA,0,1
1764,610U800US51009,-3.7780723320524476,VA-Sen-09,51,VA,0,1
1765,610U800US51010,-11.900897466900695,VA-Sen-10,51,VA,0,1
1766,610U800US51011,2.1025076271477463,VA-Sen-11,51,VA,1,0
1767,610U800US51012,-8.546114809589598,VA-Sen-12,51,VA,0,1
1768,610U800US51013,11.030361525563137,VA-Sen-13,51,VA,1,0
1769,610U800US51014,35.267237873609126,VA-Sen-14,51,VA,1,0
1770,610U800US51015,12.556095610858579,VA-Sen-15,51,VA,1,0
1771,610U800US51016,1.2455379844448355,VA-Sen-16,51,VA,1,0
1772,610U800US51017,5.9596568487281925,VA-Sen-17,51,VA,1,0
1773,610U800US51018,16.234493431315656,VA-Sen-18,51,VA,1,0
1774,610U800US51019,-5.7702508715407355,VA-Sen-19,51,VA,0,1
1775,610U800US51020,-2.217715820341093,VA-Sen-20,51,VA,0,1
1776,610U800US51021,24.297621536010432,VA-Sen-21,51,VA,1,0
1777,610U800US51022,7.7958491603336615,VA-Sen-22,51,VA,1,0
1778,610U800US51023,21.227522697072814,VA-Sen-23,51,VA,1,0
1779,610U800US51024,4.247493556370813,VA-Sen-24,51,VA,1,0
1780,610U800US51025,-8.402744207809436,VA-Sen-25,51,VA,0,1
1781,610U800US51026,-16.502371168353612,VA-Sen-26,51,VA,0,1
1782,610U800US51027,0.24210677650773604,VA-Sen-27,51,VA,1,0
1783,610U800US51028,-14.006802439428004,VA-Sen-28,51,VA,0,1
1784,610U800US51029,11.544120244437192,VA-Sen-29,51,VA,1,0
1785,610U800US51030,5.191653485757628,VA-Sen-30,51,VA,1,0
1786,610U800US51031,8.407454120185562,VA-Sen-31,51,VA,1,0
1787,610U800US51032,18.211145319065043,VA-Sen-32,51,VA,1,0
1788,610U800US51033,9.955168750167582,VA-Sen-33,51,VA,1,0
1789,610U800US51034,21.496554376114574,VA-Sen-34,51,VA,1,0
1790,610U800US51035,20.70214950221269,VA-Sen-35,51,VA,1,0
1791,610U800US51036,9.846909361863872,VA-Sen-36,51,VA,1,0
1792,610U800US51037,22.899215706753647,VA-Sen-37,51,VA,1,0
1793,610U800US51038,20.437923648586512,VA-Sen-38,51,VA,1,0
1794,610U800US51039,36.248108497335316,VA-Sen-39,51,VA,1,0
1795,610U800US51040,36.87230218977865,VA-Sen-40,51,VA,1,0
1796,610U800US50ADD,13.676581353215115,"Addison Senate District (2022), Vermont",50,VT,1,0
1797,610U800US50BEN,0.7060425972588735,"Bennington Senate District (2022), Vermont",50,VT,1,0
1798,610U800US50CAL,10.794093080613349,"Caledonia Senate District (2022), Vermont",50,VT,1,0
1799,610U800US50CHC,36.79138485142818,"Chittenden Central Senate District (2022), Vermont",50,VT,1,0
1800,610U800US50CHN,0.9871253191376805,"Chittenden North Senate District (2022), Vermont",50,VT,1,0
1801,610U800US50CHS,15.380039961106625,"Chittenden South East Senate District (2022), Vermont",50,VT,1,0
1802,610U800US50ESX,11.013754919365592,"Essex Senate District (2022), Vermont",50,VT,1,0
1803,610U800US50FRA,6.7714013810680616,"Franklin Senate District (2022), Vermont",50,VT,1,0
1804,610U800US50GRI,7.297201754906012,"Grand Isle Senate District (2022), Vermont",50,VT,1,0
1805,610U800US50LAM,15.407958617713291,"Lamoille Senate District (2022), Vermont",50,VT,1,0
1806,610U800US50ORA,14.292865876509016,"Orange Senate District (2022), Vermont",50,VT,1,0
1807,610U800US50ORL,12.782286062412629,"Orleans Senate District (2022), Vermont",50,VT,1,0
1808,610U800US50RUT,6.481479724512255,"Rutland Senate District (2022), Vermont",50,VT,1,0
1809,610U800US50WAS,16.74996804988701,"Washington Senate District (2022), Vermont",50,VT,1,0
1810,610U800US50WDH,19.161300220072384,"Windham Senate District (2022), Vermont",50,VT,1,0
1811,610U800US50WSR,9.825132896377362,"Windsor Senate District (2022), Vermont",50,VT,1,0
1812,610U800US53001,8.544904034512514,"Legislative District 1 (2022), Washington",53,WA,1,0
1813,610U800US53010,-2.099637320591439,"Legislative District 10 (2022), Washington",53,WA,0,1
1814,610U800US53011,16.322827174626482,"Legislative District 11 (2022), Washington",53,WA,1,0
1815,610U800US53012,-5.317333276513825,"Legislative District 12 (2022), Washington",53,WA,0,1
1816,610U800US53013,-6.791223930146996,"Legislative District 13 (2022), Washington",53,WA,0,1
1817,610U800US53014,-3.8810884207512775,"Legislative District 14 (2022), Washington",53,WA,0,1
1818,610U800US53015,2.3427395630574916,"Legislative District 15 (2022), Washington",53,WA,1,0
1819,610U800US53016,-2.5753355826081332,"Legislative District 16 (2022), Washington",53,WA,0,1
1820,610U800US53017,-1.3887268123045189,"Legislative District 17 (2022), Washington",53,WA,0,1
1821,610U800US53018,-3.5704842559901593,"Legislative District 18 (2022), Washington",53,WA,0,1
1822,610U800US53019,-8.312382904568926,"Legislative District 19 (2022), Washington",53,WA,0,1
1823,610U800US53002,-8.917457577489904,"Legislative District 2 (2022), Washington",53,WA,0,1
1824,610U800US53020,-12.650315625004211,"Legislative District 20 (2022), Washington",53,WA,0,1
1825,610U800US53021,6.438663542787669,"Legislative District 21 (2022), Washington",53,WA,1,0
1826,610U800US53022,11.698580980905303,"Legislative District 22 (2022), Washington",53,WA,1,0
1827,610U800US53023,6.5778340191869304,"Legislative District 23 (2022), Washington",53,WA,1,0
1828,610U800US53024,0.5976900798420495,"Legislative District 24 (2022), Washington",53,WA,1,0
1829,610U800US53025,-2.73829124882851,"Legislative District 25 (2022), Washington",53,WA,0,1
1830,610U800US53026,1.1935036545532185,"Legislative District 26 (2022), Washington",53,WA,1,0
1831,610U800US53027,12.13495073477376,"Legislative District 27 (2022), Washington",53,WA,1,0
1832,610U800US53028,7.694324506958763,"Legislative District 28 (2022), Washington",53,WA,1,0
1833,610U800US53029,14.530863756166909,"Legislative District 29 (2022), Washington",53,WA,1,0
1834,610U800US53003,9.612467203911082,"Legislative District 3 (2022), Washington",53,WA,1,0
1835,610U800US53030,11.435248754690253,"Legislative District 30 (2022), Washington",53,WA,1,0
1836,610U800US53031,-6.089112870208703,"Legislative District 31 (2022), Washington",53,WA,0,1
1837,610U800US53032,17.7051050312207,"Legislative District 32 (2022), Washington",53,WA,1,0
1838,610U800US53033,19.37473840293371,"Legislative District 33 (2022), Washington",53,WA,1,0
1839,610U800US53034,31.010197469446105,"Legislative District 34 (2022), Washington",53,WA,1,0
1840,610U800US53035,-5.924780152435078,"Legislative District 35 (2022), Washington",53,WA,0,1
1841,610U800US53036,37.87388833023908,"Legislative District 36 (2022), Washington",53,WA,1,0
1842,610U800US53037,37.174400461054745,"Legislative District 37 (2022), Washington",53,WA,1,0
1843,610U800US53038,4.606700692233035,"Legislative District 38 (2022), Washington",53,WA,1,0
1844,610U800US53039,-10.651388077886537,"Legislative District 39 (2022), Washington",53,WA,0,1
1845,610U800US53004,-10.026422816013937,"Legislative District 4 (2022), Washington",53,WA,0,1
1846,610U800US53040,12.788806976360656,"Legislative District 40 (2022), Washington",53,WA,1,0
1847,610U800US53041,17.957176807843922,"Legislative District 41 (2022), Washington",53,WA,1,0
1848,610U800US53042,-0.2394625817392111,"Legislative District 42 (2022), Washington",53,WA,0,1
1849,610U800US53043,46.09610509211985,"Legislative District 43 (2022), Washington",53,WA,1,0
1850,610U800US53044,4.210145041810774,"Legislative District 44 (2022), Washington",53,WA,1,0
1851,610U800US53045,11.937867853516057,"Legislative District 45 (2022), Washington",53,WA,1,0
1852,610U800US53046,35.433180127817394,"Legislative District 46 (2022), Washington",53,WA,1,0
1853,610U800US53047,6.963102739794879,"Legislative District 47 (2022), Washington",53,WA,1,0
1854,610U800US53048,16.36068744365673,"Legislative District 48 (2022), Washington",53,WA,1,0
1855,610U800US53049,6.200997562190621,"Legislative District 49 (2022), Washington",53,WA,1,0
1856,610U800US53005,7.182548749235677,"Legislative District 5 (2022), Washington",53,WA,1,0
1857,610U800US53006,-1.5858338699235972,"Legislative District 6 (2022), Washington",53,WA,0,1
1858,610U800US53007,-14.92598071040982,"Legislative District 7 (2022), Washington",53,WA,0,1
1859,610U800US53008,-2.7823632696105705,"Legislative District 8 (2022), Washington",53,WA,0,1
1860,610U800US53009,-2.9339783186067034,"Legislative District 9 (2022), Washington",53,WA,0,1
1861,610U800US55001,-14.265134163778939,WI-Sen-01,55,WI,0,1
1862,610U800US55002,-14.121362574648106,WI-Sen-02,55,WI,0,1
1863,610U800US55003,26.205969210142204,WI-Sen-03,55,WI,1,0
1864,610U800US55004,33.70738080798336,WI-Sen-04,55,WI,1,0
1865,610U800US55005,-3.1278389414292196,WI-Sen-05,55,WI,0,1
1866,610U800US55006,37.07395302721013,WI-Sen-06,55,WI,1,0
1867,610U800US55007,12.199049161510263,WI-Sen-07,55,WI,1,0
1868,610U800US55008,-4.476409991664351,WI-Sen-08,55,WI,0,1
1869,610U800US55009,-11.745414809895781,WI-Sen-09,55,WI,0,1
1870,610U800US55010,-1.205108900004948,WI-Sen-10,55,WI,0,1
1871,610U800US55011,-2.9454127607352785,WI-Sen-11,55,WI,0,1
1872,610U800US55012,-11.28005803716222,WI-Sen-12,55,WI,0,1
1873,610U800US55013,-6.611825435856984,WI-Sen-13,55,WI,0,1
1874,610U800US55014,-14.793012713367702,WI-Sen-14,55,WI,0,1
1875,610U800US55015,6.458653286637406,WI-Sen-15,55,WI,1,0
1876,610U800US55016,17.320008510997084,WI-Sen-16,55,WI,1,0
1877,610U800US55017,-4.82556723407164,WI-Sen-17,55,WI,0,1
1878,610U800US55018,-5.340656464120578,WI-Sen-18,55,WI,0,1
1879,610U800US55019,-7.474983684281318,WI-Sen-19,55,WI,0,1
1880,610U800US55020,-14.647627505690672,WI-Sen-20,55,WI,0,1
1881,610U800US55021,-6.455726522441198,WI-Sen-21,55,WI,0,1
1882,610U800US55022,12.09958568042457,WI-Sen-22,55,WI,1,0
1883,610U800US55023,-10.415247177651942,WI-Sen-23,55,WI,0,1
1884,610U800US55024,-8.456789215373908,WI-Sen-24,55,WI,0,1
1885,610U800US55025,-1.5925423518086284,WI-Sen-25,55,WI,0,1
1886,610U800US55026,34.247471505028486,WI-Sen-26,55,WI,1,0
1887,610U800US55027,6.106083546547542,WI-Sen-27,55,WI,1,0
1888,610U800US55028,-6.204039540561924,WI-Sen-28,55,WI,0,1
1889,610U800US55029,-9.206936409348566,WI-Sen-29,55,WI,0,1
1890,610U800US55030,-7.392308527780704,WI-Sen-30,55,WI,0,1
1891,610U800US55031,1.5624008034549544,WI-Sen-31,55,WI,1,0
1892,610U800US55032,-4.017744036422066,WI-Sen-32,55,WI,0,1
1893,610U800US55033,-1.8893715079402558,WI-Sen-33,55,WI,0,1
1894,610U800US54001,-15.007138127565767,"Senate District 1 (2022), West Virginia",54,WV,0,1
1895,610U800US54010,-23.326979486089275,"Senate District 10 (2022), West Virginia",54,WV,0,1
1896,610U800US54011,-16.13922975380725,"Senate District 11 (2022), West Virginia",54,WV,0,1
1897,610U800US54012,-26.46056709842101,"Senate District 12 (2022), West Virginia",54,WV,0,1
1898,610U800US54013,-2.224657439867043,"Senate District 13 (2022), West Virginia",54,WV,0,1
1899,610U800US54014,-22.76686264928198,"Senate District 14 (2022), West Virginia",54,WV,0,1
1900,610U800US54015,-12.302175800089763,"Senate District 15 (2022), West Virginia",54,WV,0,1
1901,610U800US54016,-6.876562064058463,"Senate District 16 (2022), West Virginia",54,WV,0,1
1902,610U800US54017,-13.26464078969147,"Senate District 17 (2022), West Virginia",54,WV,0,1
1903,610U800US54002,-23.33475838495467,"Senate District 2 (2022), West Virginia",54,WV,0,1
1904,610U800US54003,-23.38848949438592,"Senate District 3 (2022), West Virginia",54,WV,0,1
1905,610U800US54004,-32.2274867820197,"Senate District 4 (2022), West Virginia",54,WV,0,1
1906,610U800US54005,-15.096488075053792,"Senate District 5 (2022), West Virginia",54,WV,0,1
1907,610U800US54006,-25.105643504412622,"Senate District 6 (2022), West Virginia",54,WV,0,1
1908,610U800US54007,-35.64669582029199,"Senate District 7 (2022), West Virginia",54,WV,0,1
